PMID,Title,Abstract,MeSH,Keywords,Type
25588157,"Work related stress, burnout, job satisfaction and general health of nurses.","Gaps in research focusing on work related stress, burnout, job satisfaction and general health of nurses is evident within developing contexts like South Africa. This study identified the relationship between work related stress, burnout, job satisfaction and general health of nurses. A total of 1200 nurses from four hospitals were invited to participate in this cross-sectional study (75% response rate). Participants completed five questionnaires and multiple linear regression analysis was used to determine significant relationships between variables. Staff issues are best associated with burnout as well as job satisfaction. Burnout explained the highest amount of variance in mental health of nurses. These are known to compromise productivity and performance, as well as affect the quality of patient care. Issues, such as security risks in the workplace, affect job satisfaction and health of nurses. Although this is more salient to developing contexts it is important in developing strategies and intervention programs towards improving nurse and patient related outcomes.","['Adult', 'Aged', 'Burnout, Professionalepidemiologypsychology', 'Cross-Sectional Studies', 'Female', 'Health Status', 'Humans', 'Job Satisfaction', 'Male', 'Middle Aged', 'Nursespsychologystatistics & numerical data', 'South Africaepidemiology', 'Stress, Psychologicalepidemiologypsychology', 'Young Adult']",[],Journal Article
34018959,Burnout among healthcare providers during COVID-19: Challenges and evidence-based interventions.,"Burnout is a major occupational problem among healthcare providers, especially during the Covid-19 pandemic. The frontline health workforce is experiencing a high workload and multiple psychosocial stressors which may affect their mental and emotional health, leading to burnout symptoms. Moreover, sleep deprivation and a critical lack of psychosocial support may aggravate such symptoms amidst Covid-19. From an ethical viewpoint, healthcare providers may experience moral distress while safeguarding patient welfare and autonomy. Moreover, social injustice and structural inequities may affect their emotional health while tackling a high volume of new cases and mortality. Global evidence indicates the need for adopting multipronged evidence-based approaches to address burnout during this pandemic, which may include increasing the awareness of work-related stress and burnout, promoting mindfulness and self-care practices for promoting mental wellbeing, ensuring optimal mental health services, using digital technologies to address workplace stress and deliver mental health interventions, and improving organisational policies and practices focusing on burnout among healthcare providers.","['Burnout, Psychologicalepidemiologyprevention & control', 'COVID-19psychology', 'Health Personnelpsychology', 'Humans', 'SARS-CoV-2']",[],Journal Article
31532693,The Psychosocial Implications of Sport Specialization in Pediatric Athletes.,"Data on the psychosocial implications of sport specialization in pediatric athletes are lacking. Sport specialization often requires increased training hours and may predispose young athletes to social isolation, poor academic performance, increased anxiety, greater stress, inadequate sleep, decreased family time, and burnout. Sport specialization frequently introduces multiple stressors that could be expected to adversely affect mental health and function in young athletes and may increase the risk for burnout. This may be confounded by altered sleep duration and quality, increased drive for elite status, and perfectionistic personality types. The signs and symptoms of burnout in young athletes can be difficult to detect. It is important to be aware of the possible diagnosis of burnout in young athletes who display vague symptoms and a decrease in academic performance. The purpose of this review was to survey the available literature on sport specialization in young athletes and its association with mental health, sleep, the drive for success in sport, and burnout.","['Academic Performancepsychology', 'Adolescent', 'Athletespsychology', 'Burnout, Psychologicaletiologyprevention & controlpsychology', 'Child', 'Drive', 'Humans', 'Risk Factors', 'Sleep Hygiene', 'Specialization', 'Youth Sportspsychology']","['burnout', 'mental health', 'sport psychology', 'youth athletes']",Review
30927579,Brief mindfulness-based stress management program for a better mental state in working populations - Happy Nurse Project: A randomized controlled trial(✰✰).,"The efficacy of the mindfulness-based stress management program for maintaining a better mental state has not been examined among working populations. We aimed to explore the effectiveness of the brief mindfulness-based stress management program for hospital nurses. In a multi-center randomized trial, 80 junior nurses working in hospitals were randomly allocated either to the brief mindfulness-based stress management program or psychoeducation using a leaflet. The program consisted of four 30 min individual sessions conducted by trained senior nurses using a detailed manual. The primary outcome was the total score of the Hospital Anxiety and Depression Scale (HADS) at week 26. Secondary outcomes included presence of a major depressive episode; severity of depression, anxiety, insomnia, burnout, and presenteeism; utility scores; and adverse events up to 52 weeks. The mean HADS score of all the participants at baseline was 7.2. At 26 weeks, adjusted mean scores on the HADS score were 7.2 (95% confidence intervals: 5.9, 8. 5) in the program group and 6.0 (4.8, 7.2) in the leaflet group, respectively. The coefficient of the group by time interaction was not statistically significant at -1.41 (-3.35, 0.54; P = 0.156). No significant superiority or inferiority was observed on the other outcomes. We did not manage to recruit the number of participants we initially set out, although our post-hoc analyses showed that this did not lead to changes in our conclusions. The additive value of the brief mindfulness-based stress management program was not confirmed in mental state and self-evaluated work efficiency.","['Adult', 'Anxietyepidemiologypsychology', 'Burnout, Professionalepidemiologypsychology', 'Depressionepidemiologypsychology', 'Depressive Disorder, Majorepidemiologypsychology', 'Female', 'Happiness', 'Humans', 'Middle Aged', 'Mindfulnessmethods', 'Nursing Staff, Hospitalpsychology', 'Occupational Diseasesepidemiologypsychologytherapy', 'Occupational Stresspsychologytherapy', 'Patient Education as Topicmethods', 'Presenteeismstatistics & numerical data', 'Psychiatric Status Rating Scales', 'Sleep Initiation and Maintenance Disordersepidemiologypsychology', 'Treatment Outcome', 'Young Adult']","['Anxiety', 'Behavior therapy', 'Depression', 'Mindfulness', 'Prevention and control']",Randomized Controlled Trial
29650472,Could exercise improve mental health and cognitive skills for surgeons and other healthcare professionals?,"Workplace-related illness is common in the UK, and in healthcare more than five million working days over 10years have been lost as a result. Occupational stress is well known and can affect clinicians at any stage, yet many healthcare professionals continue to work with this or other psychological problems (including anxiety, chronic fatigue, and burnout) as they do not wish to let their colleagues down. Mental health issues might be dismissed, particularly in surgery, because there is a misconception that surgeons can cope better with stress than those working in other specialties, and are better protected from clinical burnout. The benefit of exercise on physical health is clear, but its role in the maintenance of good mental health and well-being should not be underestimated. As society adopts an increasingly sedentary lifestyle, exercise for many has a lower priority than other activities. In this article we give an overview of the mental health issues that might affect doctors and surgeons, and explore how exercise can benefit our well-being and clinical performance.","['Burnout, Professionalprevention & control', 'Cognition', 'Exercise', 'Fatigueprevention & control', 'Humans', 'Occupational Diseasesprevention & control', 'Physicianspsychology', 'Sedentary Behavior', 'Stress, Psychologicalprevention & control', 'Surgeonspsychology', 'United Kingdom']","['Exercise', 'burnout', 'clinical performance', 'healthcare', 'human factors', 'mental health']",Review
28780213,Effectiveness of Mindfulness Intervention in Reducing Stress and Burnout for Mental Health Professionals in Singapore.,"Stress and burnout have been shown to be a concern among mental health professionals in several countries including Singapore, and can affect quality of care and staff turnover. The aim of this study was to examine the effectiveness of a mindfulness program in increasing mindfulness and compassion, and reducing stress and burnout, among mental health professionals in Singapore. The study utilized data from a prospective pre-post study design with follow-up. A total of 37 mental health professionals participated in the program, which was conducted in three cohorts over nine months. The program consisted of six, two-hour sessions offered once a week over six weeks, and used a range of mindfulness techniques to teach participants to cultivate compassionate and non-judgemental attitudes toward their inner experiences. Data were collected at three stages: pre- and post-intervention, and three months follow-up. Assessments considered mindfulness (five facets mindfulness questionnaire), compassion (self-compassion scale-SF and compassion scale), stress (perceived stress scale-10), and burnout (Oldenburg Burnout inventory). Participants demonstrated significant improvement in four of the five mindfulness facets (observe, describe, non-judge, and non-react) and in compassion levels, and a significant reduction in stress, following intervention. The gains in mindfulness and self-compassion scores were maintained at three months follow-up. No change was observed for burnout variables. Results suggest that mindfulness training was effective in reducing stress and improving mindfulness and compassion, but not decreasing burnout, for this group of mental health professionals in Singapore. Future experimental research with larger samples is warranted to validate the findings of the present study.","['Adult', 'Burnout, Professionalprevention & control', 'Empathy', 'Female', 'Health Personnelpsychology', 'Humans', 'Male', 'Meditationpsychology', 'Mental Health Services', 'Middle Aged', 'Mindfulnessmethods', 'Prospective Studies', 'Singapore', 'Stress, Psychologicalprevention & control']","['Singapore', 'burnout', 'mental health professionals', 'mindfulness', 'stress']",Journal Article
37068141,,"Since NICE guideline PH22 Mental wellbeing at work was published in 2009, the nature of the workforce has changed in the UK. Increasing amounts of employees are on part-time, temporary or zero-hours contracts. The variations between workplaces and differences in the nature of employment are important to consider when looking at approaches to improve and protect employee mental wellbeing. Since 2009 there has been increasing recognition of mental wellbeing and how it is associated with the workplace and work outcomes. Experiences in the workplace can affect mental wellbeing positively and negatively. Good employee mental wellbeing is positive for employees and their employers. For example, better mental wellbeing and job satisfaction are associated with increased workplace performance and productivity. Poorer mental wellbeing however is associated with increased absenteeism and presenteeism and lost output costs the economy upwards of £74 billion annually. It is therefore important to implement interventions in the workplace to promote and improve mental wellbeing, and to prevent poor mental wellbeing amongst the workforce. Organisational-level approaches are important for preventing poor mental wellbeing, as well as promoting and improving mental wellbeing in the workplace. In addition, access to universal interventions at an individual level may be appropriate to help employees manage stress, prevent burnout, and build resilience, by providing skills to manage emotions, providing skills to manage situations, and through physical approaches.",[],[],Review
35023499,THE INFLUENCE OF OCCUPATIONAL STRESS ON EMPLOYEES' MENTAL HEALTH.,"The aim: To identify the features of the influence of occupational stress on occupation-specific indicators of employees' mental health. Materials and methods: In total, 771 skilled Russian-speaking respondents (226 men, 545 women; aged 18-67 years, M = 32.32 ± 12.28 years) from different countries and representing various professions participated in a remote online survey. Occupational stress intensity was assessed using the Russian adaptations of the Organizational Constraints Scale, Quantitative Workload Inventory and Aggressive Experiences Scale. Occupation-specific indicators of employees' mental health were assessed using the Russian adaptations of the Maslach Burnout Inventory, Withdrawal Scale and Negative Affect at Work Scale. Results: The results showed a significant negative influence of occupational stress on occupation-specific indicators of employees' mental health. All three indicators of occupational stress showed strong significant correlations (p < .001; r = .16-.60) with all five occupation-specific indicators of negative mental health. Constraints on performance at work had the greatest negative influence on employees' mental health, followed by aggressive experiences and workload. Constraints on performance at work caused withdrawal behaviors and workload caused emotional exhaustion, personal accomplishment and withdrawal behaviors in men significantly more often than in women. Aggressive experiences caused depersonalization and negative affect at work in women significantly more often than in men. Conclusions: Occupational stress had a significant negative influence on all occupation-specific indicators of employees' mental health. This influence had pronounced gendered characteristics. These results convincingly demonstrate the need for effective measures to prevent occupational stress.","['Burnout, Professionalepidemiology', 'Female', 'Humans', 'Job Satisfaction', 'Male', 'Mental Health', 'Occupational Health', 'Occupational Stressepidemiology', 'Stress, Psychologicalepidemiology', 'Surveys and Questionnaires']","[' aggressive experiences', ' burnout', ' hardiness', ' mental health', ' withdrawal behaviours', ' workload']",Journal Article
35760197,Relationship between burnout and Major Depressive Disorder in health professionals: A HEAR report.,"Burnout is a ""normal"" albeit concerning response to workplace stress, whereas Major Depressive Disorder (MDD) is a serious illness associated with impairment and suicide risk. Because of symptomatic overlap between the two conditions and MDD-associated stigma, individuals reporting work-related stress and depression often are ""diagnosed"" with burnout at the expense of recognizing and treating MDD. Our study aimed to leverage organizational implementation of the American Foundation of Suicide Prevention's Interactive Screening Program to elucidate relationships among burnout, depression, and other suicide risk factors. 2281 of about 30,000 (~7.6 %) medical trainees, staff, and faculty responded to an anonymous online stress and depression questionnaire. Respondents were grouped into four cohorts: screened positive for burnout alone (n = 439, 19 %), depression alone (n = 268, 12 %), both conditions (n = 759, 33 %), or neither condition (n = 817, 36 %), and compared on multiple measures of distress and other suicide risk factors. Burnout alone and depression alone each predicted greater distress and suicide risk compared with neither condition. Depression was a stronger predictor than burnout and demonstrated a consistent association with other suicide risk factors regardless of whether burnout was present. In contrast, burnout was not consistently associated with other suicide risk factors when depression was present. The sample was limited to one state-supported academic medical center; to individuals who elected to take the online survey; and relied on a single item, non-validated measure of burnout. When emotional distress is reported by healthcare workers, attention should not stop at ""burnout,"" as burnout frequently comingles with clinical depression, a serious and treatable mental health condition.","['Burnout, Professionalepidemiologypsychology', 'Depressionpsychology', 'Depressive Disorder, Majordiagnosisepidemiology', 'Health Personnelpsychology', 'Humans', 'Occupational Stressepidemiology', 'Suicidepsychology']","['Burnout', 'Depression', 'Intense affective states', 'Major Depressive Disorder', 'Suicide', 'Suicide risk']",Journal Article
36447331,Burnout in oral health students: A scoping review.,"Student burnout can be defined as the negative reactions that occur because of prolonged academic stress, which can result in emotional exhaustion/exhaustion (EE/EX), depersonalization/cynicism, and diminished personal accomplishment/reduced academic efficacy (DPA/RAE). The purpose of this scoping review is to determine if burnout is prevalent in oral health students (OHS); identify the factors that are shown to be predicators of burnout in OHS; determine the preventive and coping strategies OHS used to mitigate the effects of burnout; and identify gaps in the literature on burnout in OHS. A systematic search was completed using the following databases: PubMed, CINAHL, EBSCO, and ERIC. The returns were screened by all members of the team using inclusion and exclusion criteria, and the studies that met the criteria were appraised. Eighteen studies assessed burnout in OHS, 15 studied dental students, 2 studied dental hygiene students, and 1 studied both. Findings concerning the prevalence of burnout varied greatly across the literature with anywhere between 7% and 70.4% of OHS reporting suffering from burnout syndrome. The most prevalent scale of burnout in OHS was EE/EX with 10%-66.2% of OHS reporting high levels. Stressors for OHS were years of study, clinical components, and demanding academic courses. Early identification and interventions are keys to prevent the negative consequences of burnout. Burnout in OHS can affect their mental health, empathy toward patients, and professional conduct. Therefore, educating students and faculty on the signs and symptoms of burnout is key in preventing detrimental effects that may inhibit their academic success.","['Humans', 'Oral Health', 'Surveys and Questionnaires', 'Burnout, Psychological', 'Burnout, Professionalepidemiology', 'Studentspsychology']","['burnout', 'dental education', 'dental hygiene students', 'dental students', 'depersonalization or cynicism', 'diminished personal accomplishment or reduced academic efficacy', 'emotional exhaustion or exhaustion']",Review
